HandRight X=0.08  Y=0.18  Z=1045.91  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1045.48  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1045.13  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1044.85  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1044.64  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1044.47  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1044.33  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1044.22  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1044.13  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1044.03  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1044.04  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1044.01  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1043.88  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1043.69  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1043.52  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1043.42  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.36  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.31  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.28  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.28  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.31  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.38  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1043.47  | convert 0.6 0.7 
HandRight X=0.08  Y=0.17  Z=1043.31  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1043.15  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1043.01  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.89  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.78  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.68  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.57  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.46  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.34  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.24  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.14  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1042.05  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.97  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.88  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.77  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.63  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.50  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.37  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.24  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1041.09  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1040.86  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1040.58  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1040.32  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1040.08  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.88  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.71  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.57  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.45  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.33  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.20  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1039.07  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1038.93  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1038.77  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1038.59  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1038.40  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1038.23  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1038.08  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1037.94  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1037.78  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1037.59  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1037.39  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1037.19  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1037.01  | convert 0.6 0.7 
HandRight X=0.08  Y=0.19  Z=1036.86  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.69  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.54  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.38  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.22  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1036.06  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.90  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.73  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.59  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.47  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.35  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.25  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.16  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.07  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.00  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.93  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.86  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.80  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.74  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.69  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.66  | convert 0.6 0.7 
